Latin;English;References;English Latin Pair Matches;Misspelling
Aromaticus;Aromatic (see Spice);;;
Arphachschad;Arphaxad;;TRUE;
Arrhabo;Pledge;;TRUE;
Arridere;Smile, To;;;
Arripere;Seize;;TRUE;
Arroganter;Arrogantly;;TRUE;
Arrogantia;Arrogance;;TRUE;
Arrogare;Arrogate;;TRUE;
Ars;Art; M. 130:2. E. 1203:2. 1214:4.;TRUE;
Arteria;Artery;;TRUE;
Articulare;Articulate;;;
Articulatio;Articulation; T. 57. E. 353:2;TRUE;
Articulatus;Articulate; T. 23e.;;
Articulus;Article; H. 285e. T. 626. 642.;TRUE;
Artifex;Artificer; E. 1145:7.;TRUE;
Artificialis;Artificial; D. 2631e.;TRUE;
Artificium;Artifice;;TRUE;
Artus;Joint;;;
Arundo;Reed;;TRUE;
Arvadi;Arvadites;;TRUE;
Arvum;Fruitful field;;;
Asasel;Azazel; - Scapegoat.;TRUE;
Ascendere;Ascend;;TRUE;
Ascensus;Ascent;;TRUE;
Ascher;Asher;;TRUE;
Aschkenas;Ashkenaz;;TRUE;TRUE
Aschur;Assyria, Assyrian;;;
Asellus;Young ass (see Ass);;;
Asia;Asia;;TRUE;
Asiaticus;Asiatic;;TRUE;
Asina;She-ass (see Ass);;;
Asinus;Ass; E. 140:4.;;
Aspectabilis;Visible;;TRUE;
Aspectus;Aspect (see Look, To);;;
Asper;Rough;;TRUE;
Aspere;Roughly;;TRUE;
Aspergere;Sprinkle;;;
Asperitas;Roughness;;TRUE;
Aspernari;Spurn;;;
Aspersio;Sprinkling;;;
Aspicere;Look, To;;TRUE;
Aspirare;Breathe on;;TRUE;
Aspiratio;Breathing on, A; D.Min. 4754.;;
Aspis;Asp;;TRUE;
Assa;Azzah; - Gaza.;TRUE;
Assare;Roast;;;
Assecla;Follower;;TRUE;
Assenstis;Assent;;;TRUE
Assentatio;Flattery;;TRUE;
Assentator;Flatterer;;TRUE;
Assentiri;Assent, To;;;
